[],[],[],SP,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],  ,[],[],[],[],  ,  ,XX,  ,[],  ,XX,  ,AM,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],  ,[],[],[],[],  ,[],  ,[],[],  ,[],[],[],[],  ,  ,  ,  ,  ,[],[],[],[],EG,  ,AM,  ,[],[],[],[]
[],[],[],  ,[],[],[],[],  ,[],  ,XX,  ,AM,[],[],[],[],[],[],[],[],  ,[],[],[],[],[],  ,[],  ,[],[],[],[]
[],[],[],  ,[],[],[],[],  ,[],[],[],[],[],[],[],  ,  ,  ,  ,  ,  ,  ,[],[],[],[],[],  ,[],  ,  ,[],[],[]
[],[],[],  ,[],[],[],[],  ,[],[],[],[],[],[],[],  ,[],[],[],[],SG,  ,  ,  ,  ,  ,  ,  ,[],[],  ,[],[],[]
[],  ,[],  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,[],[],[],[],  ,  ,[],[],  ,[],[],  ,[],[],  ,[],[],[]
[],  ,[],[],[],[],[],[],[],  ,[],[],  ,[],[],[],  ,[],[],  ,  ,  ,  ,[],[],  ,  ,  ,  ,[],[],  ,[],[],[]
[],  ,[],SG,  ,[],[],[],[],[],[],[],  ,[],[],[],  ,[],[],  ,[],[],  ,[],[],  ,[],[],  ,[],[],  ,[],[],[]
[],  ,[],  ,  ,  ,  ,{},  ,  ,  ,[],  ,EG,  ,  ,  ,SG,  ,  ,[],[],  ,  ,  ,  ,[],[],  ,[],[],  ,[],[],[]
[],  ,  ,  ,  ,[],[],[],[],  ,[],[],[],  ,[],[],  ,[],[],  ,[],[],  ,[],[],[],[],[],  ,  ,  ,  ,[],[],[]
[],EG,[],[],EG,[],[],  ,  ,  ,[],[],[],  ,[],[],  ,[],[],[],[],[],  ,[],[],[],[],[],  ,[],[],  ,[],[],[]
[],  ,[],[],[],[],[],[],[],  ,[],  ,[],  ,[],[],  ,XX,  ,  ,[],  ,  ,  ,[],SG,  ,XX,  ,[],[],  ,[],[],[]
[],  ,[],[],[],[],[],[],[],  ,[],  ,  ,  ,  ,  ,  ,[],[],  ,[],[],[],  ,[],  ,[],[],[],[],[],  ,[],[],[]
[],  ,[],[],[],[],[],[],[],  ,[],  ,[],[],[],[],  ,EG,[],  ,[],[],[],  ,[],  ,[],[],[],[],[],  ,[],[],[]
[],  ,[],[],  ,  ,  ,  ,  ,  ,[],  ,[],[],[],[],  ,[],[],  ,[],[],[],  ,[],  ,  ,  ,  ,  ,  ,  ,[],[],[]
[],  ,  ,[],EG,[],[],[],[],  ,  ,SG,[],[],[],[],[],[],[],  ,[],[],[],  ,[],  ,[],[],[],[],[],AM,  ,SG,[]
[],  ,[],[],  ,[],[],[],[],[],[],  ,[],[],[],[],[],[],[],  ,  ,  ,  ,  ,[],  ,[],[],[],[],[],[],[],[],[]
[],  ,[],[],  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,EG,[],[],[],[],[],[],[],[],[],KY,[],[],[],[],[],[],[],[],[]
[],  ,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
