[],[],[],SP,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],  ,[],[],[],[],AM,  ,AM,  ,[],  ,AM,  ,AM,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],  ,[],[],[],[],  ,[],  ,[],[],  ,[],[],  ,[],  ,  ,  ,  ,  ,[],[],[],[],EG,  ,  ,  ,  ,[],[],[]
[],[],[],AM,[],[],[],[],  ,[],  ,AM,  ,AM,[],[],AM,[],[],[],[],[],  ,[],[],[],[],[],  ,[],  ,  ,[],[],[]
[],[],[],  ,[],[],[],[],  ,[],[],[],[],[],[],[],  ,  ,  ,SG,  ,  ,  ,[],[],[],[],[],  ,[],SG,  ,[],[],[]
[],[],[],AM,[],[],[],[],  ,[],[],[],[],[],[],[],  ,[],[],[],[],ES,  ,SG,  ,  ,  ,  ,  ,[],[],  ,[],[],[]
[],  ,[],  ,  ,  ,  ,  ,  ,  ,AM,  ,  ,AM,  ,AM,  ,  ,  ,  ,  ,  ,  ,[],[],  ,[],[],  ,[],[],  ,[],[],[]
[],ES,[],[],[],[],[],[],[],  ,[],[],  ,[],[],[],  ,[],[],  ,EG,  ,  ,[],[],  ,AM,  ,  ,[],[],  ,[],[],[]
[],EB,[],  ,  ,[],[],[],[],[],[],[],  ,[],[],[],  ,[],[],  ,[],[],  ,[],[],  ,[],[],EG,[],[],  ,[],[],[]
[],ES,[],  ,  ,##,##,##,  ,  ,  ,[],  ,EG,  ,  ,  ,  ,  ,  ,[],[],AM,  ,  ,  ,[],[],  ,[],[],  ,[],[],[]
[],  ,  ,  ,  ,[],[],[],[],SG,[],[],[],  ,[],[],  ,[],[],  ,[],[],[],[],[],[],[],[],  ,  ,  ,  ,[],KY,[]
[],ES,[],[],EG,[],[],  ,  ,  ,[],[],[],  ,[],[],  ,[],[],[],[],[],  ,[],[],[],[],[],  ,[],[],  ,[],  ,[]
[],EB,[],[],[],[],[],[],[],  ,[],  ,[],  ,  ,  ,  ,SG,  ,  ,[],  ,  ,SG,[],SG,AM,AM,  ,[],[],EG,[],  ,[]
[],ES,[],[],[],[],[],[],[],  ,[],  ,{},  ,  ,  ,  ,[],[],  ,[],  ,[],  ,[],  ,[],[],[],[],[],  ,[],  ,[]
[],EB,[],[],[],[],[],[],[],  ,[],  ,[],[],[],[],SG,EG,[],  ,[],  ,  ,  ,[],  ,[],[],[],[],[],  ,[],  ,[]
[],  ,[],[],SG,ES,EB,ES,  ,  ,[],  ,[],[],[],[],EG,[],[],  ,[],  ,  ,AM,  ,  ,  ,  ,  ,  ,  ,  ,[],  ,[]
[],  ,EG,[],EG,[],[],[],[],  ,  ,SG,[],[],[],[],[],[],[],  ,[],SG,[],  ,[],  ,[],[],[],[],[],  ,  ,SG,[]
[],  ,[],[],EG,[],[],[],[],[],[],  ,[],[],[],[],[],[],[],AM,  ,  ,  ,  ,[],  ,[],[],[],[],[],[],[],[],[]
[],  ,[],[],SG,ES,EB,ES,EB,ES,EB,  ,  ,  ,  ,EG,[],[],[],[],[],[],[],[],[],BD,[],[],[],[],[],[],[],[],[]
[],  ,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
